country|count|points
Italy|19540|88.6
Portugal|5691|88.3
US|54504|88.6
Spain|6645|87.3
France|22093|88.8
Germany|2165|89.9
Argentina|3800|86.7
Chile|4472|86.5
Australia|2329|88.6
Austria|3345|90.1
South Africa|1401|88.1
New Zealand|1419|88.3
Israel|505|88.5
Hungary|146|89.2
Greece|466|87.3
Romania|120|86.4
Mexico|70|85.3
Canada|257|89.4
Turkey|90|88.1
Czech Republic|12|87.2
Slovenia|87|88.1
Luxembourg|6|88.7
Croatia|73|87.2
Georgia|86|87.7
Uruguay|109|86.8
England|74|91.6
Lebanon|35|87.7
Serbia|12|87.5
Brazil|52|84.7
Moldova|59|87.2
Morocco|28|88.6
Peru|16|83.6
India|9|90.2
Bulgaria|141|87.9
Cyprus|11|87.2
Armenia|2|87.5
Switzerland|7|88.6
Bosnia and Herzegovina|2|86.5
Ukraine|14|84.1
Slovakia|1|87.0
Macedonia|12|86.8
China|1|89.0
Egypt|1|84.0
